Year,Category,Name,Description,Source,Source URL,Image File,Photo,Photo URL,Copyright concern?
1930,History,Great Depression,Great Depression creates homelessness and unemployment at never before rates,Community Solutions ,https://community.solutions/wp-content/uploads/2020/06/A-Brief-Timeline-of-Race-and-Homelessness-in-America-March-2019.pdf,1930-great-depression.jpg,"Turpentine worker's family near Cordele, Alabama. Father's wages one dollar a day. This is the standard of living the turpentine trees support by Dorothea Lange",https://www.loc.gov/pictures/item/2017763012/,
1930s ,Policy,Public Finance for Affordable Housing Production,"Emergency Relief and Construction Act of 1932 authorized the Reconstruction Finance Corporation to lend public funds to corporations to build housing for low-income families. National Industrial Recovery Act of 1933, which allowed the Public Works Administration (a government-sponsored work program) to use federal funds for slum clearance, the construction of low-cost housing, and subsistence homesteads; close to 40,000 housing units were produced that year. ",The History of Homelessness in the United States,https://community.solutions/wp-content/uploads/2020/06/A-Brief-Timeline-of-Race-and-Homelessness-in-America-March-2019.pdf,1930s-public-finance-for-affordable-housing-production.jpg, [Apartment building model: P.W.A. Low Rent Housing] by Harris & Ewing (1935 or 1936),https://www.loc.gov/resource/hec.39735/,
1940s,Policy,Federal Production of Housing and Urban Improvement,"National Industrial Recovery Act of 1933, which allowed the Public Works Administration (a government-sponsored work program) to use federal funds for slum clearance, the construction of low-cost housing, and subsistence homesteads; close to 40,000 housing units were produced that year.",The History of Homelessness in the United States,https://community.solutions/wp-content/uploads/2020/06/A-Brief-Timeline-of-Race-and-Homelessness-in-America-March-2019.pdf,1940s-federal-production-of-housing-and-urban-improvement.jpg,"Barry Farm Dwellings, 1944",https://anacostia.si.edu/barryfarm/people-and-places/barry-farm-dwellings-1944,
1954,Policy,Housing Act 1,Housing Act of 1954 continued and broadened slum clearance and urban redevelopment in inner cities,The History of Homelessness in the United States,https://community.solutions/wp-content/uploads/2020/06/A-Brief-Timeline-of-Race-and-Homelessness-in-America-March-2019.pdf,1954-housing-act-1.jpg,"North End, Corner Hanover and Tileston Streets, 1932 (Boston Public Library).",https://thewestendmuseum.org/history/era/new-boston/the-creation-of-the-us-federal-urban-renewal-program,
1956,Policy,Housing Act 2,Housing Act of 1956 (P.L. 84-1020) that relocation payments were authorized to those individuals and families who were displaced by the process of urban renewal ,The History of Homelessness in the United States,https://community.solutions/wp-content/uploads/2020/06/A-Brief-Timeline-of-Race-and-Homelessness-in-America-March-2019.pdf,1956-housing-act-2.jpg,Baltimore’s Abandoned Neighborhoods,https://baltimoreheritage.org/programs/harlem-park/,
1960s,History,Deinstitutionalization Drives Incarceration,"Two major shifts began in the 1960s, ramping up and becoming a norm by the 1990s: major shift : deinstitutionalization of mentally ill w/o adequate and affordable housing = streets / temporary shelters 
major shift : mass incarceration creates a two-way pipeline between homelessness and jails/prisons.
housing discrimination, gentrification, and the disparate impact of local zoning ordinances = puts Black and POC at higher risk of homelessness ",,,1960s-deinstitutionalization-drives-incarceration.jpg,"Alcatraz, Military Prison",https://www.bop.gov/about/history/alcatraz.jsp,
1962,Case Law,Robinson v. California,"It is unconstitutional for a state to punish a defendant for drug addiction, which is a status rather than an act, when the defendant has not engaged in any illegal conduct involving drugs in the state.",Robinson v. California ,,1962-robinson-v-california.webp,"Massachusetts War on Drugs Photo Archive, 1960s–1980s",https://www.maxrambod.com/pages/books/21325/massachusetts-drug-war/massachusetts-war-on-drugs-photo-archive-1960s-1980s,
1965,Policy,Housing and Urban Renewal Act,"The Housing and Urban Renewal Act of 1965 (P.L. 89-117) was enacted as a rent supplement for low-income, disabled, and elderly individuals. Legislation in 1965 also formally created the Department of Housing and Urban Development",The History of Homelessness in the United States,,1965-housing-and-urban-renewal-act.jpg,"CORE-sponsored demonstration at realtor office of Picture Floor Plans, Inc.",https://www.zinnedproject.org/news/tdih/fair-housing-act-signed-into-law/,
1968,Case Law,Powell v. Texas,"Police arrested Leroy Powell for public intoxication. He was tried, convicted, and fined $20 in the Corporation Court of Austin Texas.
Powell argued that criminal punishment for public intoxication is cruel and unusual punishment in violation of the Eighth Amendment, because he had chronic alcoholism. 
He appeared in public drunk as a compulsive symptom of the disease, not his own choice. The County court of Travis County held that alcoholism is not a defense to the charge and affirmed the conviction.",Powell v Texas ,,1968-powell-v-texas.jpg,Chronic inebriates such as the one pictured here may become victims of crime as they are less capable of defending and caring for themselves.,https://southwestlegal.com/can-you-be-arrested-for-being-drunk-in-public/,
1968,Policy,Fair Housing Act,"Finally, Title VIII of the Civil Rights Act of 1968, the Fair Housing Act, established fair housing provisions to prohibit discrimination in access to housing.",The History of Homelessness in the United States,,1968-fair-housing-act.jpg,Mass protests in support of the Fair Housing Act,https://lafairhousing.org/today-we-commemorate-the-signing-of-the-fair-housing-act-on-april-11th-1968/,
1970s,History,Public Funding Reduction,80% reduction in federal investments in public housing + cuts to social safety = massive spike in homelessness ,Community Solutions ,,1970s-public-funding-reduction.jpg,Homeless in LA,https://www.ppic.org/blog/overwhelming-majorities-are-concerned-about-homelessness-support-many-policies-to-address-it/,
1970s,Terminology,Housed ,"Individuals living in single room occupancy hotels (SROs) and other (flophouses, cheap hotels, and temporary housing) were legally defined by HUD as housed, and not homeless, making the studying of homelessness hard to identify. Post-WWII the shift from white male homelessness was due to the increase of the poorest, disabled, verteran, and welfare dependent individuals into these forms of housing insecurity, while not being considered homeless. ",The History of Homelessness in the United States,,1970s-housed.jpg,An Overlooked Solution to the Affordable Housing Crisis: Hotels,https://thebolditalic.com/an-overlooked-solution-to-the-housing-crisis-hotel-living-e54c915188d0,
1974,Policy,Housing and Community Development Act of 1974 ,"The Housing and Community Development Act of 1974 (P.L. 97-35) merged several urban development programs into the broader Community Development Block Grant (CDBG) program. This law created the Housing Choice Voucher program, also known as the Section 8 program, to provide low-income housing through rental subsidies paid to the private sector. ",The History of Homelessness in the United States,,1974-housing-and-community-development-act-of-1974.jpg,President Gerald R. Ford signs into law the Housing and Community Development Act of 1974,https://archives.hud.gov/local/or/goodstories/2014-08-22.cfm,
1977,Terminology,Federal Homeless Definition,"The Stewart B McKinney Homeless Assistance Act defined homelessness as: (1) Individuals and families who lack a fixed, regular, and adequate nighttime residence and includes a subset for an individual who is exiting an institution where he or she resided for 90 days or less and who resided in an emergency shelter or a place not meant for human habitation immediately before entering that institution;

(2)
Individuals and families who will imminently lose their primary nighttime residence;

(3)
Unaccompanied youth and families with children and youth who are defined as homeless under other federal statutes who do not otherwise qualify as homeless under this definition; or

(4)
Individuals and families who are fleeing, or are attempting to flee, domestic violence, dating violence, sexual assault, stalking, or other dangerous or life-threatening conditions that relate to violence against the individual or a family member. The McKinney Act also created a targeted Health Care for the Homeless (HCH) primary care funding stream, with a distinct broad definition of homelessness, which now exists within the Federally Qualified Health Center (FQHC) program.",Community Solutions ,,1977-federal-homeless-definition.gif,History of the McKinney-Vento Act,https://mckinneyventoact.weebly.com/history.html,
1979,Case Law,Callahan v. Carey,"paved the way for further legal victories that ensured the right to shelter for homeless men, women, children, and families in New York City.",Callahan v. Carey,,1979-callahan-v-carey.jpg,Shelters save lives,https://www.coalitionforthehomeless.org/event/right-to-shelter-day/,
1980s ,History,Urban Shifts and AIDS,"Some main causes of homelessness at this time include: gentrification of the inner city, deinstitutionalization of the mentally ill, high unemployment rate, the emergence of HIV/AIDS, an inadequate supply of affordable housing options, and deep budget cuts to the U.S. Department of Housing and Urban Development (HUD) and social service agencies in response to what was then the country's worst recession since the Great Depression; this all coincided with:  rapid increase of property value in downtowns ; elimination of SROs and rooming houses for apartments + condominimums  ",Community Solutions ,,1980s-urban-shifts-and-aids.png,Homeless in LA,https://www.laphamsquarterly.org/roundtable/housing_first,
1980,Policy,Social Security Amendments Act of 1980,"President Carter signed the Social Security Amendments of 1980. Chief changes: a more stringent maximum family benefit calculation; greater work incentives for disabled Social Security and SSI beneficiaries; and increased authority given the Secretary of HHS to establish, through regulations, performance standards and administrative procedures to be met by the States, including the authority to overturn State disability determination decisions.",Social Security Chronology,,1980-social-security-amendments-act-of-1980.png,Community Care - Fighting the Cuts,https://www.communitycare.co.uk/2024/10/15/social-work-in-the-2010s-surviving-a-decade-of-austerity/,
1984,Policy,Cuts to Social Service,"This era of tighter public spending and cuts to social programs, including: tightening of the disability eligibility process (Social Security Act of 1980);  impeding efforts of disabled and ill to receive financial benefits (Social Security Disability Benefits Reform Act of 1984). ",The History of Homelessness in the United States,,1984-cuts-to-social-service.jpg,"Aug. 14, 1935, file photo President Franklin Roosevelt signs the Social Security bill in Washington",https://commons.wikimedia.org/wiki/File:Signing_Of_The_Social_Security_Act.jpg,
late 1980s,Policy,Criminalization of Public Space,"This era represented the introduction of ordinances criminalizing life-sustaining acts such as selfsheltering (“camping”), sleeping, resting, eating, or asking for donations
ordinances for  jaywalking or littering, to harass and push homeless persons out of certain spaces. ",The History of Homelessness in the United States,,late-1980s-criminalization-of-public-space.jpg,Homelessness in the street,https://manhattan.institute/article/responses-to-homelessness-the-law-enforcement-dimension,
1990,Policy,Increased Public Commitment to Affordable Housing,"Affirms the national goal that every American family should be able to afford a decent home in a suitable environment. States that the objective of national housing policy shall be to reaffirm the long-established national commitment to decent, safe, and sanitary housing by strengthening a nationwide partnership of public and private institutions capable of carrying out such policy.",Cranston-Gonzalez National Affordable Housing Act,,1990-increased-public-commitment-to-affordable-housing.jpg,Secretary Turner meeting with the Manufactured Housing Association for Regulatory Reform,https://www.manufacturedhomepronews.com/unpacking-mharrs-washington-d-c-report-with-analysis-reveals-info-on-key-manufactured-housing-industry-topics-mhi-website-currently-lacks-mhville/,
1990,Policy,AIDS and homelessness,The co-currence of AIDS and homelessness led to the creation of the Housing Opportunities for Persons with AIDS (HOPWA) program through the Cranston-Gonzalez National Affordable Housing Act. ,The History of Homelessness in the United States,,1990-aids-and-homelessness.png,"Diagnosed with HIV in 1993, Mr. E. says more rent relief would make his life easier.",https://www.thebody.com/article/housing-opportunities-persons-with-aids-hopwa-funding-2021,
1990s,Terminology,Literal Homelessness,"Shift in social science to describe those with no access to conventional dwellings, such as houses, apartments, mobile homes, rooming houses, or SROs. ",The History of Homelessness in the United States,,1990s-literal-homelessness.webp,Homeless on the street of Los Angeles,https://www.latimes.com/opinion/editorials/la-ed-homeless-accountability-20180302-htmlstory.html,
1997,Policy,Interagency Council on Homelessness,"The 1997 Stewart B. McKinney Act also authorized the creation of the U.S. Interagency Council on Homelessness (USICH). USICH is an independent executive branch body established to better coordinate homelessness programs across government agencies. The USICH includes representative membership from all major federal agencies whose mission touches upon homelessness, including, among others, HHS, HUD, the Department of Veterans Affairs (VA), and the Federal Emergency Management Agency (FEMA).1",The History of Homelessness in the United States,,1997-interagency-council-on-homelessness.jpg,HHS Secretary Becerra leads the USICH meeting,https://www.usich.gov/news-events/news/usich-meeting-council-focuses-innovative-solutions-homelessness-and-mental-health,
1998,Terminology,Quantification of Homelessness,"A seminal study from Kuhn and Culhane documented 3 types of groups of homelessness populations as based on a study of the decade in New York and Philadelphia shelters: (1) transient, 80 percent of those using the shelter who had a single brief stay; 
(2) episodic, 10 percent of shelter users who had repeated but brief shelter stays; and 
(3) chronic, 10 percent of users who essentially spent each night in the shelter.",The History of Homelessness in the United States,,1998-quantification-of-homelessness.jpg,"The Structure of Scientific Revolutions, by Thomas Kuhn",https://1000wordphilosophy.com/2014/06/16/thomas-kuhn-paradigm-shifts-and-academic-rifts/,
2000s ,History,Collaborative Approaches,"Federal, national, and local initiatives to address homelessness begin to adopt shared frameworks
and best practices in preventing to and responding to homelessness",Community Solutions ,,2000s-collaborative-approaches.jpg,"On August 14, 2025, Skid Row celebrated the Grand Opening of the Skid Row Care Campus",https://socialmodelrecovery.org/2025/08/skid-row-care-campus-grand-opening/,
2000s,Policy,Chronic Homelessness Initiative,"Chronic Homelessness Initiative, asking states and local jurisdictions to create 10-year plans to end chronic homelessness. Another change in federal policy occurred in 2003, bringing a focus on “ending chronic homelessness” through low-threshold and permanent supportive housing programs ",The History of Homelessness in the United States,,2000s-chronic-homelessness-initiative.jpg,,https://manhattan.institute/article/housing-first-and-homelessness-the-rhetoric-and-the-reality,
2009,Policy,HEARTH Act,"Reauthorization of the McKinney-Vento Act, called the HEARTH Act	
	The reauthorization consolidated several existing programs for individuals experiencing homelessness, created a federal goal that individuals and families experiencing homelessness be permanently housed within 30 days, and codified the planning processes used by communities to organize into Continuums of Care in order to apply for homeless assistance funding through 
	New definitions of “homeless,” “homeless person,” and “homeless individual” were expanded. These changes were based on Congress identifying (1) a lack of affordable housing and limited housing assistance programs, and (2) an assertion that homelessness is an issue that affects every communit",The History of Homelessness in the United States,,2009-hearth-act.jpg,Obama Signs Heinrich Bill To Boost Tribal Home Ownership,https://www.krwg.org/regional/2012-07-30/obama-signs-heinrich-bill-to-boost-tribal-home-ownership,
2010s,Policy,City Encampments,"laws in 187 cities and found that city-wide bans on camping have increased by 92%, on sitting or lying by 78%, on loitering by 103%, on panhandling by 103%, and on living in vehicles by 213%",The History of Homelessness in the United States,,2010s-city-encampments.jpg,,https://www.thn.org/2019/07/01/the-criminalization-of-homelessness-across-the-texas-balance-of-state/,
2010,Policy,Federal Strategic Plan to End Homelessness ,"Opening Doors:  the first-ever comprehensive federal strategic plan to prevent and end homelessness. The plan set the stage for HUD’s goals of preventing and ending homelessness for veterans by 2015; preventing and ending homelessness for individuals experiencing chronic homelessness by 2017; preventing and ending homelessness for families, youth, and children by 2020; and ultimately setting a path to ending all types of homelessness. ",End Homelessness,,2010-federal-strategic-plan-to-end-homelessness.jpg,,https://news.va.gov/55848/va-can-help-homeless-veterans-get-back-feet/,
2012,Federal Report,Decriminalizing Homelessness,"Three key solutions: The creation of comprehensive and seamless systems of care. Collaboration between law enforcement, behavioral health, and social service providers. Alternative justice system strategies. ",Searching out Solutions: Constructive Alternatives to the Criminalization of Homelessness,,2012-decriminalizing-homelessness.jpg,,https://www.hrw.org/report/2024/08/14/you-have-move/cruel-and-ineffective-criminalization-unhoused-people-los-angeles,
2012,Federal Report,Addressing Encampent ,"This report is designed to assist communities in developing an action plan that will link people experiencing homelessness and living in an encampment, with permanent housing opportunities.",Ending Homelessness for People Living in Encampments: Advancing the Dialogue ,,2012-addressing-encampent.jpg,,https://homeless.lacounty.gov/news/a-pathway-home-in-macarthur-park/,
2015,Case Law,Norton v. City of Springfield,"The ordinance defines panhandling as an oral request for an immediate donation of money. Signs requesting money are allowed, as are oral pleas to send money later
The Seventh Circuit upheld the ordinance in 2014, but granted rehearing in light of the Supreme Court’s 2015 decision, Reed v. Gilbert, and reversed. ","Norton v. City of Springfield, No. 13-3581",,2015-norton-v-city-of-springfield.webp,,https://www.hanson-inc.com/our-work/city-of-springfield-illinois-capitol-avenue-corridor-design/,
2015,Case Law,Bell v. City Boise," a case brought by homeless plaintiffs who were convicted under Boise ordinances that criminalize sleeping or camping in public.
Statement of Interest of DoJ: allege that enforcement of the city of Boise ordinances prohibiting sleeping or camping in public outdoor places, on nights when there is insufficient shelter space in Boise to accommodate the homeless population, amounts to cruel and unusual punishment in violation of the Eighth Amendment",Bell v. City of Boise ,,2015-bell-v-city-boise.jpg,,https://wraphome.org/2015/09/15/excerpts-us-department-of-justice-letter-of-interest/,
2016,Federal Report,Guidance on Youth Homelessness,"This report is designed to assist communities in developing an action plan that will link people experiencing homelessness and living in an encampment, with permanent housing opportunities.",Dept of Education issues guidance for homeless youth ,,2016-guidance-on-youth-homelessness.jpg,,https://web.risd.org/studentservices/student-welfare/,
2018,Case Law,Martin v Boise,"in the 9th Circuit, successfully defended from Supreme Court review in 2019, which held that in the absence of adequate alternatives, it is cruel and unusual punishment under the 8th Amendment to punish someone for life-sustaining activities like sleeping, resting, or sheltering oneself.",Martin v. Boise,,2018-martin-v-boise.jpg,,https://www.impactfund.org/social-justice-blog/martinvboise,
2018,Federal Report,Second Strategy to End Homelessness ,Trump Era plan to end homelessness,The Federal Strategic Plan to Prevent and End Homelessness,,2018-second-strategy-to-end-homelessness.jpg,,https://calmatters.org/housing/homelessness/2024/11/trump-agenda-homelessness/,
2020,Policy,Anti-Criminalization,"EO 13929, promoted use of law enforcement to force individuals into mega-tent shelters, though the Administration continued promoting increased law enforcement approaches behind the scenes; George Gloyd Law Enforcement Act, anti-criminalization provisions. ",Executive Order 13929 ,,2020-anti-criminalization.jpg,,https://www.hrw.org/news/2020/08/12/roadmap-re-imagining-public-safety-united-states,
2020,Federal Report,Whole-of-Government Response," Expanding the Toolbox: The Whole-of-Government Response to Homelessness, envisions an approach that dramatically reduces homelessness by engaging and assessing families and individuals with a trauma-informed approach to care that addresses the real root causes of homelessness.",Expanding the Toolbox ,,2020-whole-of-government-response.avif,,https://www.dailymail.co.uk/news/article-9843417/In-shadow-Watergate-Homeless-encampment-near-complex-one-Washington-D-C.html,
2021,Policy,Housing First,"House America is a national partnership in which HUD and USICH invite mayors, county leaders, Tribal nation leaders, and governors to use the historic investments provided through the American Rescue Plan to address the crisis of homelessness through a Housing First approach by immediately re-housing and building additional housing for people experiencing homelessness.","USICH, HUD Launch House America Initiative to Address Homelessness Crisis",,2021-housing-first.webp,,https://www.beaconjournal.com/story/news/2021/06/20/adoping-housing-first-policy-akron-begins-clearing-homeless-camps-monday/7731457002/,
2023,Policy,Housing is a Human Right Act,"the bill establishes additional taxes on: (1) the sale or exchange of real property if the amount realized from the transaction is at least $10 million, (2) the sale or exchange of real property involving an anonymous entity, and (3) rent received by landlords that own large amounts of dwelling units.",H.R.1708 - Housing Is a Human Right Act of 2023,,2023-housing-is-a-human-right-act.png,,https://www.acceaction.org/_housing_is_a_human_right_rally_calls_on_legislature_to_address_california_cost_of_living,
2023,Policy,The Ending Homelessness Act of 2023 (H.R. 4232),"Would transform the Housing Choice Voucher (HCV) program into a federal entitlement, meaning every eligible household would receive assistance.",The Ending Homelessness Act of 2023,,2023-the-ending-homelessness-act-of-2023-h-r-4232.png,,https://nlihc.org/resource/congressional-renters-caucus-announces-new-policy-agenda-focused-renters,
2023,Policy,Housing Crisis Response Act of 2023 (H.R. 4233),"The official page on Congress.gov for the bill, which would provide over $150 billion in investments for public housing, affordable housing production, and rental assistance.",Housing Crisis Response Act of 2023,,2023-housing-crisis-response-act-of-2023-h-r-4233.jpg,,https://thanedar.house.gov/affordable-housing-resources,
2023,Case Law,Coalition on Homelessness v. City and County of San Francisco,"Litigation challenging San Francisco's practice of towing and selling vehicles used as shelter by unhoused residents for unpaid parking tickets, arguing it violates California's constitutional protection of property rights and due process.",Coalition on Homelessness v. City and County of San Francisco,,2023-coalition-on-homelessness-v-city-and-county-of-san-francisco.jpg,,https://www.sfexaminer.com/news/urban-development/dueling-rallies-show-how-sf-homelessness-still-divides-city/article_920e2d14-4200-11ee-9b9e-eb571f83d052.html,
2024,Case Law,Disability Rights California v. Newsom (Regarding the CARE Act),"Challenges to California's Community Assistance, Recovery, and Empowerment (CARE) Act on due process grounds, arguing it creates a coercive treatment system without mandating housing, which fails to adequately address unsheltered homelessness.",drc-v-newsom,,2024-disability-rights-california-v-newsom-regarding-the-care-act.jpg,,https://www.hrw.org/news/2023/02/17/human-rights-watch-amicus-letter-disability-rights-california-v-gavin-newsom,
2024,Case Law,Johnson v. Grants Pass,The enforcement of generally applicable laws regulating camping on public property does not constitute “cruel and unusual punishment” prohibited by the Eighth Amendment.,Johnson v. Grants Pass ,,2024-johnson-v-grants-pass.webp,,https://nationalhomeless.org/johnson-v-grants-pass/,
2024,Case Law,Byrd v. State of Missouri (Regarding anti-camping laws),"Challenges to a Missouri law that codified a model anti-camping ordinance, arguing it was passed unconstitutionally by violating the state's ""single subject"" rule, which illegally restricted local authority to address homelessness.",missouri/supreme-court,,2024-byrd-v-state-of-missouri-regarding-anti-camping-laws.jpg,,https://www.yahoo.com/news/missouri-supreme-court-strikes-down-212539198.html,
